port,proto,name
20,6,FTP-Data
21,6,FTP
22,6,SSH
23,6,Telnet
25,6,SMTP
53,6,DNS
53,17,DNS
67,17,DHCP-Server
68,17,DHCP-Client
69,17,TFTP
80,6,HTTP
88,6,Kerberos
110,6,POP3
123,17,NTP
135,6,RPC
137,17,NetBIOS-NS
138,17,NetBIOS-DGM
139,6,NetBIOS-SSN
143,6,IMAP
161,17,SNMP
162,17,SNMP-Trap
389,6,LDAP
443,6,HTTPS
445,6,SMB
465,6,SMTPS
500,17,IKE
514,17,Syslog
587,6,SMTP-Submission
636,6,LDAPS
993,6,IMAPS
995,6,POP3S
1433,6,MSSQL
1521,6,Oracle
1701,17,L2TP
1723,6,PPTP
1812,17,RADIUS-Auth
1813,17,RADIUS-Acct
2049,6,NFS
3128,6,HTTP-Proxy
3268,6,LDAP-GC
3269,6,LDAPS-GC
3306,6,MySQL
3389,6,RDP
4500,17,IPsec-NAT-T
5000,6,UPnP
5060,6,SIP
5061,6,SIP-TLS
5432,6,PostgreSQL
5672,6,AMQP
5900,6,VNC
5985,6,WinRM-HTTP
5986,6,WinRM-HTTPS
6379,6,Redis
8080,6,HTTP-Alt
8443,6,HTTPS-Alt
9000,6,HTTP-Alt-2
9090,6,Prometheus
9200,6,Elasticsearch
9300,6,Elasticsearch-Cluster
11211,6,Memcached
27017,6,MongoDB
